eup_loc_uid,unit_count,bsl_flag,building_type_code,land_use_code,county_geoid,block_geoid,h3_9,latitude,longitude,fcc_rel
f0b599a0949c6818,1,True,R,4,26033,260339707001054,8927630ad17ffff,46.63047247,-85.03657335,12312023
86029d153093bb94,2,True,R,4,26033,260339707001052,8927630ad07ffff,46.62840727,-85.03974567,12312023
3894bfdf4f18d380,1,True,R,1,26033,260339707001151,8927630ad0bffff,46.63023245,-85.04658435,12312023
4b04408450276b5a,1,True,B,3,26033,260339707001151,8927630ad0bffff,46.62966839,-85.04557325,12312023
7d87d391c776182e,1,True,B,2,26033,260339707001057,8927630ad83ffff,46.63734616,-85.03453915,12312023
e871dbe467e99187,1,True,R,1,26033,260339707001057,8927630ad83ffff,46.63823625,-85.03441714,12312023
1f7f6fc2680d0688,1,True,R,1,26033,260339707001052,8927630ad17ffff,46.63017744,-85.03748944,12312023
fea32b73fa327ada,1,True,R,1,26033,260339707001054,8927630adabffff,46.62997232,-85.03624032,12312023
5d7309d8ac66ac92,1,True,R,1,26033,260339707001052,8927630ad17ffff,46.6317275,-85.03733443,12312023
14645dfa0080cb1c,1,True,R,1,26033,260339707001052,8927630ad03ffff,46.6297573,-85.043012,12312023
74f20f4b6f11d37f,1,True,R,1,26033,260339707001057,8927630ad93ffff,46.6407084,-85.03387308,12312023
2ec37b409c422635,1,True,B,3,26033,260339707001059,8927630ad0bffff,46.63014644,-85.04473917,12312023
b34f4a8d998e70d9,1,True,R,1,26033,260339707001057,8927630ad83ffff,46.63665609,-85.03492819,12312023
4a58bc15001cb744,1,True,R,1,26033,260339707001052,8927630ad93ffff,46.64142057,-85.03533923,12312023
9e6d48221ee250dd,1,True,R,1,26033,260339707001054,8927630adbbffff,46.6327216,-85.03523422,12312023
2e5d61927ea9cd76,1,True,B,2,26033,260339707001057,8927630ad93ffff,46.63985031,-85.03431713,12312023
c1d35f765bf063f7,1,True,R,1,26033,260339707001057,8927630ad8fffff,46.63614104,-85.03510121,12312023
20c6354337e8f49e,1,True,R,1,26033,260339707001052,8927630ad9bffff,46.64064149,-85.03667836,12312023
3c9723af2d5c1fb1,1,True,R,4,26033,260339708004001,89276334d07ffff,46.24633006,-84.39919561,12312023
c09d0b5b3ccb893d,1,True,R,1,26033,260339707001052,8927630ad83ffff,46.636797,-85.03595629,12312023
305ee7091224b7e3,1,True,B,2,26033,260339707001059,8927630ad0bffff,46.63001843,-85.04437313,12312023
392cca6e2c7290e6,1,True,B,2,26097,260979504003028,89276e48253ffff,45.85718714,-84.73920162,12312023
934f43589e1c0bd9,1,True,R,1,26097,260979504003038,89276e482c3ffff,45.85882721,-84.73455615,12312023
4fe4365d5d666274,1,True,R,1,26097,260979504003038,89276e482c3ffff,45.85893122,-84.73422312,12312023
0c93416fe9337dca,1,True,R,1,26097,260979504003038,89276e482c3ffff,45.85896722,-84.73335603,12312023
36d7546bac657e6b,1,True,R,1,26097,260979504003038,89276e482c3ffff,45.85943137,-84.73470117,12312023
0b5a510f7f66bf11,1,True,R,1,26097,260979504003038,89276e482c3ffff,45.85963139,-84.73311201,12312023
cbea994fd4b38643,1,True,R,1,26097,260979504003038,89276e482c3ffff,45.85986831,-84.73485118,12312023
431f7ede0b6b327a,1,True,R,1,26097,260979504003038,89276e482c3ffff,45.85991232,-84.73444014,12312023
561f9570da9111b6,1,True,B,3,26097,260979504003020,89276e48253ffff,45.85567299,-84.73867356,12312023
089837b39d1b977d,1,True,B,3,26097,260979504003020,89276e48257ffff,45.85539896,-84.73767346,12312023
888d342e2e0afff6,1,True,R,1,26097,260979504003020,89276e482cfffff,45.8557819,-84.73716741,12312023
7bba3d19176d2812,1,True,B,3,26097,260979504003020,89276e482cfffff,45.85607003,-84.73629532,12312023
591f0439047ba0de,1,True,B,3,26097,260979504003020,89276e482cfffff,45.85610104,-84.73522322,12312023
6056e6bff1aa35ff,1,True,B,3,26097,260979504003020,89276e482cfffff,45.85641607,-84.7340951,12312023
f0e985d5df62e3b8,1,True,B,7,26097,260979504003028,89276e482cbffff,45.85860229,-84.73827352,12312023
4888e2d51d20ff44,1,True,R,1,26097,260979504003038,89276e482c3ffff,45.86051648,-84.73522822,12312023
5271840c69ee3331,1,True,R,1,26097,260979504003028,89276e482c3ffff,45.86040047,-84.73610631,12312023
a4c07350ca9ae65c,1,True,R,1,26097,260979504003038,89276e482c3ffff,45.86114854,-84.73525122,12312023
cfc952313095d3ad,1,True,R,1,26097,260979504003022,89276e482dbffff,45.86331776,-84.73883458,12312023
92d44d78c8f27413,1,True,R,1,26097,260979504003022,89276e482dbffff,45.86364779,-84.73888958,12312023
71f9e047db85b42b,2,True,R,1,26097,260979504003022,89276e482dbffff,45.86295162,-84.73874557,12312023
